id	text	likes
55138	"- ты, повстречавшаяся мне на этой планете, где существуют сотни тысяч других, лучших, более прекрасных, умных, добрых, верных, рассудительных... Ты, подкинутая мне судьбой однажды ночью, бездумная и властная любовь, ворвавшаяся в мою жизнь, во сне заползшая мне под кожу; ты, не знающая обо мне почти ничего, кроме того, что я тебе сопротивляюсь, и лишь поэтому бросившаяся мне навстречу. Едва я перестал сопротивляться, как ты сразу же захотела двинуться дальше. Привет тебе! Вот я стою здесь, хотя думал, что никогда уже не буду так стоять. Дождь проникает сквозь рубашку, он теплее, прохладнее и мягче твоих рук, твоей кожи... Вот я стою здесь, я жалок, и когти ревности разрывают мне все внутри; я и хочу и презираю тебя, восхищаюсь тобою и боготворю тебя, ибо ты метнула молнию, воспламенившую меня, молнию, таящуюся в каждом лоне, ты заронила в меня искру жизни, темный огонь. Вот я стою здесь, но уже не как труп в отпуске – с мелочным цинизмом, убогим сарказмом и жалкой толикой мужества. Во мне уже нет холода безразличия. Я снова живой – пусть и страдающий, но вновь открытый всем бурям жизни, вновь попавший под ее простую власть! Будь же благословенна, Мадонна с изменчивым сердцем, Ника с румынским акцентом! Ты – мечта и обман, зеркало, разбитое вдребезги каким-то мрачным божеством... Прими мою благодарность, невинная! Никогда ни в чем тебе не признаюсь, ибо ты тут же немилосердно обратить все в свою пользу. Но ты вернула мне то, чего не могли мне вернуть ни Платон, ни хризантемы, ни бегство, ни свобода, ни вся поэзия мира, ни сострадание, ни отчаяние, ни высшая и терпеливейшая надежда, – ты вернула мне жизнь, простую, сильную жизнь, казавшуюся мне преступлением в этом безвременье между двумя катастрофами! Привет тебе! Благодарю тебя! Я должен был потерять тебя, чтобы уразуметь это! Привет тебе! 

Эрих Мария Ремарк ""Триумфальная арка"""	559
55136	"Наверное, у каждого человека есть такой период в году, когда неприятности и неудачи группируются особенно тесно, сбиваясь в кучу и наступая друг другу на пятки.

А. Маринина."	1313
55135	"Я обычно сужу о человеке по тому, что вызывает его смех.

Уилсон Мизнер"	900
55134	"— А знаешь, Андрей, всего больше те люди шутят, у которых сердце ноет..
— Будь твоя правда, — вся Россия со смеху помирала бы…

Максим Горький. Мать"	569
55133	"И все-таки твой долг — все вынести, раз это неизбежно; только глупые и безвольные говорят: «Я не могу вынести», если это их крест, предназначенный им судьбой.

Шарлотта Бронте ""Джен Эйр"""	250
55132	"Всякий раз,как я мысленно предаю какого-то человека,ставя на нем крест,или прихожу к мысли,что он конченая сволочь,через пять минут оказывается,что я был не прав.Прямо хоть по часам засекай.
                                                                           Матвей Багров"	200
55130	"Где ты? Чем занимаешься? Что чувствуешь? Так же ли устаешь на работе? 
Столько вопросов, и ни одного ответа. Ты стал лишь фрагментом моей жизни, ярким пятном в моей памяти. Знаешь, мне так тебя не хватает, не хватает эмоций, которые мне дарил. Прошло уже полгода, а я все никак не могу отпустить, не могу удалить номер, сообщения, не получается. Не было ни дня, чтобы я не вспоминала о тебе, это не любовь, нет, просто жизнь стала тусклой. Что в тебе такого особенного, почему когда мне грустно, Я открываю наш диалог и на лице появляется улыбка.
Сколько всего произошло в моей жизни за это время, хочется многое рассказать, ты знаешь как много я люблю болтать, наверное даже слишком. Столько времени прошло, а все также пусто. Я пытаюсь правда, строю свою жизнь, знакомлюсь с новыми людьми, пробую новое, но все не то. Нет тех эмоций, того блеска в глазах, Я погасла, изнутри. Как так получается, что человек, которого я знаю пару месяцев, оставил такой след. Как с этим бороться, время идёт, быстротечно, только вот мне не легче.
Может когда-нибудь мы случайно встретимся на улице, перекинемся простым привет, и наши дороги вновь разойдутся, а может обойдёмся молчанием. Но даже мимолётная встреча сейчас для меня важна.

А.Осколкова ""Лучший способ выразить свои мысли, написать об этом"""	181
55127	"От проявлений лицемерной радости страдает только сама жертва обмана, а лицемерная печаль унижает прежде всего того, кто ее разыгрывает.

Метьюрин Ч.Р Мельмот скиталец"	224
55125	"Если бы мы слушались нашего разума, у нас бы никогда не было любовных отношений. У нас бы никогда не было дружбы. Мы бы никогда не пошли на это, потому что были бы циничны: «Что-то не то происходит» или: «Она меня бросит» или: «Я уже раз обжёгся, а потому…» Глупость это. Так можно упустить всю жизнь. Каждый раз нужно прыгать со скалы и отращивать крылья по пути вниз.

Рэй Брэдбери"	1356
55124	"Ну вот и все, — сказал дядя Джек. — На безымянном пальце настоящей леди полагается носить обручальное кольцо, а у тебя останется шрам.

Харпер Ли. ""Убить пересмешника...""."	563
55122	"Бог создал меня из теплой крови и нервов, да-с! А органическая ткань, если она жизнеспособна, должна реагировать на всякое раздражение. И я реагирую! На боль я отвечаю криком и слезами, на подлость - негодованием, на мерзость - отвращением. По-моему, это, собственно, и называется жизнью.

Антон Павлович Чехов. Палата №6"	717
55120	"Я люблю тебя. Тебе не обязательно говорить, что ты тоже, но, думаю, что ты не сломаешь свою челюсть, если хотя бы попытаешься.

к/ф ""Король рыбак"""	366
55119	"Общаясь всюду и везде, Как больно видеть ложь во фраке. Чем ближе узнаю людей, Тем больше нравятся собаки

Король Карл I Английский"	361
55118	"И вот оказалось: жизнь не в ресторанах, не в курортах, а в заботах, несчастьях, в работе, в институте, в тюремных очередях, скверная жизнь, лживая, несправедливая, страшная, и всё равно надо найти в ней своё место.

Анатолий Рыбаков. ""Дети Арбата. Страх."""	230
55116	"... у меня есть пара огромных шкафов и сундуков, битком набитых чувствами к тебе. Но они запираются на ключ, и этот ключ у меня в кармане.

Даниэль Глаттауэр. ""Все семь волн"""	1020
55115	"Мне нравится, как уходят красивые и гордые женщины, надменно и стремительно постукивая каблуками и хлопая дверью.
Может, они потом и сползают по ее обратной стороне и горько плачут,но уходят они замечательно…

Эрих Мария Ремарк"	1002
55114	"Я валялась на постели, запрокинув голову, уставившись в потолок, и только изредка передвигалась, чтобы найти прохладный кусочек простыни. Спать мне не хотелось, я ставила на проигрыватель в ногах кровати одну за другой пластинки, лишенные мелодии, но с четким, замедленным ритмом. Я много курила, чувствовала себя декаденткой, и мне это нравилось. 
 
Франсуаза Саган. ""Здравствуй, грусть""."	305
55107	"Ветер дул, текла вода,
Пели птицы, шли года
До сих пор мы не встречались
Не встречались никогда.

Но теперь узнав друг друга
Мир исчез для нас вокруг
Только ты моя подруга
Только я твой милый друг.

Д. Хармс. 1933 г."	497
55105	"Вы, допустим, воображаете себя человеком сильным и думаете, что вам ничто не угрожает. А между тем случайное освещение предметов в комнате, тон утреннего неба, запах, когда-то любимый вами и навеявший смутные воспоминания, строка забытого стихотворения, которое снова встретилось вам в книге, музыкальная фраза из пьесы, которую вы давно уже не играли, — вот от каких мелочей зависит течение нашей жизни.

Оскар Уайльд
«Портрет Дориана Грея»"	209
55104	"Если бы я вела дневник, я бы каждый день записывала фразу : «Какая смертная тоска…»
И всё.

Фаина Раневская."	691
55090	"А ваши свадьбы? Вы женитесь, обещаете жить вместе «в радости и в горе, пока смерть вас не разлучит». Как можно терпеть кого бы то ни было в течение шестидесяти лет? Продолжительность жизни возросла, и супружество потеряло смысл. У нас, когда мужчина и женщина соединяются, тот, кто проводит церемонию, говорит: «Вы женитесь, чтобы жить вместе в горе и радости, пока смерть любви не разлучит вас». Это же логичнее.

Бернар Вербер. Отец наших отцов"	890
55089	"Таково уж свойство женского пола — плакать от горя, плакать от радости и проливать слёзы в отсутствие того и другого.

 О. Генри
«Дары волхвов»"	1738
55088	"Всегда говорят о горе брошенных. А ты когда-нибудь думала, о тех, кто уходит?

А.Гавальда"	1126
55084	"Если любовь уходит - хоть вой, но останься гордым. 
Живи и будь человеком, а не ползи ужом!

Эдуард Асадов"	1034
55082	"Будь женщины похитрее, не давались бы в руки, чтобы заставить бегать за ними всю жизнь.

Бегбедер, Фредерик. «Любовь живет три года.»"	484
55081	"Люди просто хотят любви... внимания и понимания. Люди просто хотят быть с тем, с кем тепло и светло душе.

Аневито Кем"	639
55080	"Я хочу встретить такого мужчину, который хочет встретить такую женщину, как я. 
 
Джулиан Барнс. ""Любовь и так далее"""	1132
55069	"Если ты когда-нибудь повстречаешь человека, и он покажется тебе… непохожим на тебя и на других… одного из тех редких людей, которые проходят среди нас как ослепительные звезды… постарайся не забыть, что знать таких людей — большое счастье, но любить их опасно.

Этель Войнич"	1585
55068	"Истерики редко происходят действительно из-за того, из-за чего их закатывают.

Диана Уинн Джонс «Ходячий замок»"	957
55067	"Никто не встречает свой идеал дважды в жизни. Да и один раз редко кто его находит. 

Оскар Уайльд. Портрет Дориана Грея."	954
55060	"Надоели мне эти рожи. Народу много, а людей — нет.

Борис Акунин ""Азазель"""	1036
55059	"Не стоит ничего ждать от людей. Делаешь кому-нибудь добро, а тебе плюют в рожу. 
 
Жан-Мишель Генассия ""Клуб неисправимых оптимистов"""	489
55052	"Самой холодной зимой я узнал, что внутри у меня - непобедимое лето .

А. Камю"	1809
55049	"Я думаю, у каждого или у каждой есть что-то вроде навозной лопаты, которой в моменты стрессов и неприятностей вы начинаете копаться в себе, в своих мыслях и чувствах. Избавьтесь от неё. Сожгите её. Иначе вырытая вами яма достигнет глубин подсознания, и тогда по ночам из неё будут выходить мертвецы.

 Стивен Кинг «Кристина»"	1038
55047	"Бросаться с головой в непонятную авантюру – это глупость высшей степени. Но все же такая соблазнительная глупость!

Олег Рой. Скользящий странник"	579
55046	"Стало понятно, что степень мягкости постели определяется силой нашего душевного волнения. Хорошо спится лишь тому, кто научился умело управлять состоянием собственной души.

Августо Кури. ""Продавец грез"""	1217
55044	"Никогда не стоит хвастаться будущим

Н. Гоголь"	562
55043	"Мы можем растратить все наши жизни, позволяя миру диктовать нам, кто мы есть. Нормальные или ненормальные. Святые или грешники. Герои или жертвы. Позволяя истории рассказывать нам, какие мы плохие, или какие хорошие. Позволяя нашему прошлому решать наше будущее. Или можем решать сами. И может быть, наше дело — открыть что-нибудь получше. 

Чак Паланик ""Удушье"""	260
55042	"И они ждут Прекрасного Принца, вбив себе в голову этот дурацкий рекламный образ, который плодит неудачниц, будущих старых дев и мегер, потому что счастливыми-то их сделать может только мужчина, далекий от совершенства. 

Фредерик Бегбедер"	552
55041	"Самое страшное — когда прошлым становятся те, кто должен был стать будущим.

Хавьер Мариас"	751
55040	"Уж так паскудно устроен мир. Куда бы вы ни посмотрели, всегда найдется кто-нибудь, кто готов вцепиться вам в глотку.

Чарльз Буковски. ""Хлеб с ветчиной"""	427
55039	"Сегодня я буду кутить. Весело,добродушно, со всякими безобидными выходками. Приготовьте посуду, тарелки:я буду всё это бить. Уберите хлеб из овина: я подожгу овин.

"" Евгений Леонов, к/ф ""Обыкновенное чудо"""	300
55038	"К двадцати пяти годам большинство людей уже становились полными кретинами. Целая нация болванов, помешавшихся на своих автомобилях, жратве и потомстве.

Чарльз Буковски ""Хлеб с ветчиной"""	1249
55037	"Вы знаете, как пахнут новые книги? Переплёт, бумага, шрифт? Это как свежий хлеб для голодного.

Рэй Бредбери"	528
55036	"- А если серьезно, ты циник?
- Я неудачник. Был бы циником, чувствовал бы себя лучше.

Чарльз Буковски. Хлеб с ветчиной"	292
55035	"-Странное дело. Самые естественные вещи вгоняют человека в краску, а подлость - никогда. 

Э. М. Ремарк. Возлюби ближнего своего."	869
55034	"Макс опасался, как бы сердце не просочилось наружу и не шлепнулось, жалкое, на пол.

Маркус Зусак. Книжный вор"	283
55033	"Вопреки всему некоторые люди, хочется нам этого или нет, играют кардинальную роль в нашей судьбе, давая ей совершенно иной поворот; они как бы делят нашу жизнь надвое.

Мишель Уэльбек."	777
55032	"Трудно сказать, что играло решающую роль в моём поведении, недостаток сна или же недостаток ума, но люди определенно перестали мне нравиться.

Чупахин Д.А."	1081
55029	"И лишь в твоих глазах зеленых я вижу в январе весну.

М. Леонюк"	2862
55028	"Мир не кровью,
А дружбой и любовью
Должны мы уберечь.

 Ганс Сакс"	1067
55027	"Я знаю - спорить с человеком в такой час, когда у него в сердце все царапины кровью сочатся, - это только обижать его.

М. Горький"	1079
55026	"Вы вызываете у меня странное чувство. Словно нас с Вами связывает тонкая нить. Она тянется у меня откуда-то из груди.. Я очень боюсь, что если Вы уедете, то нить оборвется. Я начну изнутри истекать кровью, а Вы меня просто забудете. 

Шарлотта Бронте ""Джейн Эйр"""	862
55025	"Мы так смеялись, что болел живот, или долгие километры соприкасались ладонями. 

Януш Леон Вишневский. Любовница"	270
55024	"-Разве когда любят,то ненавидят?
-Вот осёл! ещё как!
-Наверно, это потому, что любовь делает тебя беззащитным. Вот  и ненавидишь людей, потому что перед ними весь как на ладони, такой как есть.

Рэй Бредбери"	494
